,league,date,teamHome,teamAway,goalsHome,goalsAway,result,shotsHome,shotsAway,shotsTargetHome,shotsTargetAway,oddsHome,oddsDraw,oddsAway,oddsUnder25,oddsOver25,season,round,pointsHome,pointsAway,avgGoalsHome,avgGoalsAway,avgGoalsAgainstHome,avgGoalsAgainstAway,avgPointsHome,avgPointsAway,avgGoalsHomeAllTeams,avgGoalsAwayAllTeams,anticipatedGoalsHomeAverage,anticipatedGoalsAwayAverage
0,Example2,2000-08-01,Club1,Club15,3,0,H,10.0,12.0,3.0,5.0,1.27,5.91,10.27,2.7,1.43,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Example2,2000-08-01,Club10,Club5,0,0,D,,,,,2.32,3.01,3.15,1.52,2.42,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
2,Example2,2000-08-01,Club12,Club3,0,2,A,13.0,6.0,2.0,3.0,1.93,3.42,4.13,1.69,2.18,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0
3,Example2,2000-08-01,Club2,Club13,1,0,H,,,,,1.39,4.15,6.25,1.93,1.94,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666
4,Example2,2000-08-01,Club4,Club11,0,6,A,8.0,39.0,1.0,16.0,9.75,5.27,1.29,2.39,1.53,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5
5,Example2,2000-08-01,Club6,Club9,3,0,H,6.0,9.0,5.0,3.0,1.76,3.61,4.41,2.08,1.72,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,0.8,1.6
6,Example2,2000-08-01,Club8,Club7,0,1,A,9.0,11.0,2.0,4.0,2.69,3.02,2.76,1.6,2.29,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.3333333333333333,1.1666666666666667,1.3333333333333333
7,Example3,2000-08-01,Squad1,Squad15,1,0,H,,,,,2.35,2.88,3.15,1.64,2.12,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2857142857142858,1.0,1.2857142857142858
8,Example3,2000-08-01,Squad10,Squad5,4,0,H,13.0,13.0,9.0,6.0,1.65,3.74,5.17,2.15,1.68,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.125,1.0,1.125
9,Example3,2000-08-01,Squad12,Squad3,2,3,A,21.0,11.0,11.0,4.0,2.06,3.22,3.63,1.55,2.38,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.3333333333333333,1.0
10,Example3,2000-08-01,Squad2,Squad13,2,0,H,,,,,1.4,3.96,7.03,1.89,1.82,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.2,1.4,1.2
11,Example3,2000-08-01,Squad4,Squad11,4,1,H,11.0,7.0,4.0,3.0,1.59,3.68,6.28,1.65,2.23,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4545454545454546,1.0909090909090908,1.4545454545454546,1.0909090909090908
12,Example3,2000-08-01,Squad6,Squad9,1,1,D,12.0,7.0,5.0,4.0,1.78,3.74,4.48,2.16,1.68,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0833333333333333,1.6666666666666667,1.0833333333333333
13,Example3,2000-08-01,Squad8,Squad7,1,1,D,15.0,17.0,6.0,8.0,4.38,3.54,1.8,1.8,1.97,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6153846153846154,1.0769230769230769,1.6153846153846154,1.0769230769230769
14,Example1,2000-08-01,Team1,Team15,0,1,A,20.0,5.0,8.0,2.0,4.98,4.09,1.65,2.09,1.74,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,1.0714285714285714,1.5714285714285714,1.0714285714285714
15,Example1,2000-08-01,Team10,Team5,3,1,H,10.0,15.0,6.0,4.0,3.16,3.0,2.27,1.74,2.0,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4666666666666666,1.0666666666666667,1.4666666666666666,1.0666666666666667
16,Example1,2000-08-01,Team12,Team3,1,3,A,,,,,2.89,2.05,3.45,1.53,2.25,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,1.0625,1.5625,1.0625
17,Example1,2000-08-01,Team2,Team13,2,1,H,13.0,11.0,3.0,2.0,3.24,3.24,2.3,1.72,2.11,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5294117647058822,1.1764705882352942,1.5294117647058822,1.1764705882352942
18,Example1,2000-08-01,Team4,Team11,1,0,H,11.0,12.0,3.0,6.0,1.68,3.38,4.52,1.95,1.73,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,1.1666666666666667,1.5555555555555556,1.1666666666666667
19,Example1,2000-08-01,Team6,Team9,0,0,D,6.0,14.0,1.0,3.0,2.53,3.21,2.84,1.74,2.06,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.5263157894736843,1.105263157894737,1.5263157894736843,1.105263157894737
20,Example1,2000-08-01,Team8,Team7,0,1,A,12.0,9.0,0.0,3.0,3.49,3.14,2.26,1.52,2.53,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.0500000000000003,1.45,1.0500000000000003
21,Example2,2000-08-11,Club11,Club2,0,0,D,18.0,5.0,4.0,2.0,2.25,3.26,3.06,1.95,1.79,2000/2001,first,1,1,6.0,1.0,0.0,0.0,3.0,3.0,1.380952380952381,1.047619047619048,2.630952380952381,-0.2023809523809521
22,Example2,2000-08-11,Club13,Club15,4,1,H,10.0,15.0,5.0,4.0,1.23,5.93,11.58,2.32,1.58,2000/2001,first,3,0,0.0,0.0,1.0,3.0,0.0,0.0,1.3181818181818181,1.0000000000000002,1.8181818181818181,0.5000000000000002
23,Example2,2000-08-11,Club14,Club1,0,2,A,,,,,2.11,3.15,3.5,1.56,2.32,2000/2001,first,0,3,0.0,3.0,0.0,0.0,0.0,3.0,1.434782608695652,1.0000000000000002,0.6847826086956521,1.7500000000000002
24,Example2,2000-08-11,Club3,Club10,0,1,A,,,,,1.7,3.27,5.15,1.47,2.53,2000/2001,first,0,3,2.0,0.0,0.0,0.0,3.0,1.0,1.375,1.0416666666666667,1.875,0.5416666666666667
25,Example2,2000-08-11,Club5,Club8,1,0,H,,,,,2.19,3.0,3.42,1.6,2.26,2000/2001,first,3,0,0.0,0.0,0.0,1.0,1.0,0.0,1.32,1.04,1.57,0.79
26,Example2,2000-08-11,Club7,Club6,2,0,H,10.0,19.0,3.0,8.0,2.52,3.26,2.81,1.77,2.01,2000/2001,first,3,0,1.0,3.0,0.0,0.0,3.0,3.0,1.3076923076923077,1.0,0.8076923076923077,1.5
27,Example2,2000-08-11,Club9,Club4,3,0,H,25.0,13.0,16.0,9.0,1.3,5.02,10.69,2.6,1.45,2000/2001,first,3,0,0.0,0.0,3.0,6.0,0.0,0.0,1.3333333333333333,0.9629629629629629,2.083333333333333,0.2129629629629629
28,Example3,2000-08-11,Squad11,Squad2,1,2,A,6.0,3.0,1.0,2.0,3.98,3.33,1.9,1.83,1.93,2000/2001,first,0,3,1.0,2.0,4.0,0.0,0.0,3.0,1.3928571428571428,0.9285714285714286,0.1428571428571428,2.178571428571429
29,Example3,2000-08-11,Squad13,Squad15,0,0,D,13.0,14.0,9.0,7.0,2.22,3.22,3.18,1.7,2.06,2000/2001,first,1,1,0.0,0.0,2.0,1.0,0.0,0.0,1.3793103448275863,0.9655172413793104,1.1293103448275863,1.2155172413793105
30,Example3,2000-08-11,Squad14,Squad1,6,0,H,19.0,5.0,9.0,0.0,1.69,3.79,4.76,2.26,1.62,2000/2001,first,3,0,0.0,1.0,0.0,0.0,0.0,3.0,1.3333333333333333,0.9333333333333333,1.0833333333333333,1.1833333333333333
31,Example3,2000-08-11,Squad3,Squad10,3,1,H,,,,,2.34,3.42,2.85,2.45,1.51,2000/2001,first,3,0,3.0,4.0,2.0,0.0,3.0,3.0,1.4838709677419355,0.9032258064516129,0.7338709677419355,1.653225806451613
32,Example3,2000-08-11,Squad5,Squad8,1,3,A,,,,,2.16,3.02,3.4,1.47,2.56,2000/2001,first,0,3,0.0,1.0,4.0,1.0,0.0,1.0,1.53125,0.90625,0.53125,1.90625
33,Example3,2000-08-11,Squad7,Squad6,0,3,A,,,,,2.64,3.1,2.64,1.82,1.94,2000/2001,first,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.5151515151515151,0.9696969696969697,1.5151515151515151,0.9696969696969697
34,Example3,2000-08-11,Squad9,Squad4,3,0,H,,,,,1.76,3.43,4.37,1.87,1.87,2000/2001,first,3,0,1.0,4.0,1.0,1.0,1.0,3.0,1.4705882352941178,1.0294117647058822,0.7205882352941178,1.7794117647058822
35,Example1,2000-08-11,Team11,Team2,0,0,D,,,,,2.27,3.01,3.3,1.51,2.42,2000/2001,first,1,1,0.0,2.0,1.0,1.0,0.0,3.0,1.5142857142857142,1.0,1.0142857142857142,1.5
36,Example1,2000-08-11,Team13,Team15,1,2,A,,,,,1.77,2.95,5.0,1.67,2.06,2000/2001,first,0,3,1.0,1.0,2.0,0.0,0.0,3.0,1.4722222222222223,0.9722222222222222,0.9722222222222223,1.4722222222222223
37,Example1,2000-08-11,Team14,Team1,2,3,A,20.0,14.0,6.0,10.0,3.42,3.02,2.21,1.53,2.39,2000/2001,first,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.4594594594594594,1.0,1.7094594594594594,0.75
38,Example1,2000-08-11,Team3,Team10,2,0,H,,,,,1.38,4.15,7.49,2.01,1.72,2000/2001,first,3,0,3.0,3.0,1.0,1.0,3.0,3.0,1.4736842105263157,1.0526315789473684,1.4736842105263157,1.0526315789473684
39,Example1,2000-08-11,Team5,Team8,4,0,H,,,,,1.51,3.87,6.3,1.93,1.86,2000/2001,first,3,0,1.0,0.0,3.0,1.0,0.0,0.0,1.4871794871794872,1.0256410256410255,1.2371794871794872,1.2756410256410255
40,Example1,2000-08-11,Team7,Team6,0,1,A,29.0,9.0,5.0,2.0,1.34,4.48,9.35,2.17,1.63,2000/2001,first,0,3,1.0,0.0,0.0,0.0,3.0,1.0,1.55,1.0,1.8,0.75
41,Example1,2000-08-11,Team9,Team4,1,0,H,,,,,1.65,3.48,4.81,2.11,1.66,2000/2001,first,3,0,0.0,1.0,0.0,0.0,1.0,3.0,1.5121951219512195,1.0,1.2621951219512195,1.25
42,Example2,2000-08-21,Club13,Club1,1,1,D,,,,,2.34,2.69,3.2,1.47,2.41,2000/2001,first,1,1,2.0,2.5,1.0,0.0,1.5,3.0,1.5,0.9761904761904762,1.125,1.3511904761904763
43,Example2,2000-08-21,Club14,Club12,5,0,H,,,,,1.27,4.84,9.43,2.05,1.68,2000/2001,first,3,0,0.0,0.0,2.0,2.0,0.0,0.0,1.4883720930232558,0.9767441860465116,1.4883720930232558,0.9767441860465116
44,Example2,2000-08-21,Club15,Club11,1,1,D,10.0,13.0,5.0,5.0,1.58,4.16,5.25,2.15,1.69,2000/2001,first,1,1,0.5,3.0,3.5,0.0,0.0,2.0,1.5681818181818181,0.9545454545454546,0.06818181818181812,2.4545454545454546
45,Example2,2000-08-21,Club2,Club9,2,1,H,17.0,11.0,6.0,6.0,1.89,3.38,4.08,1.82,1.97,2000/2001,first,3,0,0.5,1.5,0.0,1.5,2.0,1.5,1.5555555555555556,0.9555555555555556,1.6805555555555556,0.8305555555555556
46,Example2,2000-08-21,Club4,Club7,2,2,D,,,,,1.78,3.37,4.62,1.63,2.21,2000/2001,first,1,1,0.0,1.5,4.5,0.0,0.0,3.0,1.565217391304348,0.9565217391304348,0.0652173913043479,2.4565217391304346
47,Example2,2000-08-21,Club6,Club5,4,2,H,,,,,2.37,3.02,3.05,1.72,2.07,2000/2001,first,3,0,1.5,0.5,1.0,0.0,1.5,2.0,1.574468085106383,0.9787234042553191,1.574468085106383,0.9787234042553191
48,Example2,2000-08-21,Club8,Club3,1,2,A,,,,,2.28,2.95,3.02,1.8,1.95,2000/2001,first,0,3,0.0,1.0,1.0,0.5,0.0,1.5,1.625,1.0,1.25,1.375
49,Example3,2000-08-21,Squad13,Squad1,3,3,D,,,,,2.34,3.27,2.73,2.16,1.62,2000/2001,first,1,1,0.0,0.5,1.0,3.0,0.5,1.5,1.6122448979591837,1.0204081632653061,1.9872448979591837,0.6454081632653061
50,Example3,2000-08-21,Squad14,Squad12,1,1,D,11.0,16.0,3.0,6.0,3.16,3.0,2.38,1.54,2.39,2000/2001,first,1,1,6.0,2.0,0.0,3.0,3.0,0.0,1.64,1.06,3.3899999999999997,-0.69
51,Example3,2000-08-21,Squad15,Squad11,2,2,D,22.0,8.0,7.0,4.0,1.38,4.18,7.85,1.91,1.83,2000/2001,first,1,1,0.0,1.0,0.5,3.0,0.5,0.0,1.6274509803921569,1.0588235294117647,2.002450980392157,0.6838235294117647
52,Example3,2000-08-21,Squad2,Squad9,2,1,H,,,,,2.14,3.36,3.28,1.99,1.79,2000/2001,first,3,0,2.0,2.0,0.5,0.5,3.0,2.0,1.6346153846153846,1.0769230769230769,1.6346153846153846,1.0769230769230769
53,Example3,2000-08-21,Squad4,Squad7,0,2,A,,,,,2.1,3.34,3.36,1.84,1.93,2000/2001,first,0,3,2.0,0.5,2.0,2.0,1.5,0.5,1.6415094339622642,1.0754716981132075,2.0165094339622645,0.7004716981132075
54,Example3,2000-08-21,Squad6,Squad5,0,4,A,5.0,16.0,1.0,7.0,1.96,3.51,3.73,2.14,1.7,2000/2001,first,0,3,2.0,0.5,0.5,3.5,2.0,0.0,1.6111111111111112,1.0925925925925926,2.736111111111111,-0.03240740740740744
55,Example3,2000-08-21,Squad8,Squad3,1,0,H,10.0,10.0,6.0,5.0,1.96,3.17,4.0,1.63,2.2,2000/2001,first,3,0,2.0,3.0,1.0,1.5,2.0,3.0,1.5818181818181818,1.1454545454545455,1.4568181818181818,1.2704545454545455
56,Example1,2000-08-21,Team13,Team1,1,4,A,,,,,1.39,4.03,7.32,1.84,1.88,2000/2001,first,0,3,1.0,1.5,2.0,1.5,0.0,1.5,1.5714285714285714,1.125,1.3214285714285714,1.375
