,league,date,teamHome,teamAway,goalsHome,goalsAway,result,shotsHome,shotsAway,shotsTargetHome,shotsTargetAway,oddsHome,oddsDraw,oddsAway,oddsUnder25,oddsOver25,season,round,pointsHome,pointsAway,avgGoalsHome,avgGoalsAway,avgGoalsAgainstHome,avgGoalsAgainstAway,avgPointsHome,avgPointsAway,avgGoalsHomeAllTeams,avgGoalsAwayAllTeams,anticipatedGoalsHomeAverage,anticipatedGoalsAwayAverage,probHome,probDraw,probAway,probOver25,probUnder25
0,Example2,2000-08-01,Club1,Club15,3,0,H,10.0,12.0,3.0,5.0,1.27,5.91,10.27,2.7,1.43,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7470764102835521,0.16053926244671934,0.09238432726972846,0.6537530266343825,0.3462469733656174
1,Example2,2000-08-01,Club10,Club5,0,0,D,,,,,2.32,3.01,3.15,1.52,2.42,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.39883984570536796,0.3074114425370278,0.2937487117576043,0.38578680203045684,0.6142131979695432
2,Example2,2000-08-01,Club12,Club3,0,2,A,13.0,6.0,2.0,3.0,1.93,3.42,4.13,1.69,2.18,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.4922132275814484,0.27776945299186995,0.23001731942668166,0.4366925064599483,0.5633074935400517
3,Example2,2000-08-01,Club2,Club13,1,0,H,,,,,1.39,4.15,6.25,1.93,1.94,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6421206382214961,0.21507173183804323,0.14280762994046073,0.4987080103359174,0.5012919896640827
4,Example2,2000-08-01,Club4,Club11,0,6,A,8.0,39.0,1.0,16.0,9.75,5.27,1.29,2.39,1.53,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.09607777462149318,0.17775299858815152,0.7261692267903553,0.6096938775510204,0.3903061224489796
5,Example2,2000-08-01,Club6,Club9,3,0,H,6.0,9.0,5.0,3.0,1.76,3.61,4.41,2.08,1.72,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,0.8,1.6,0.5300463121726768,0.25841593058834106,0.21153775723898208,0.5473684210526316,0.4526315789473684
6,Example2,2000-08-01,Club8,Club7,0,1,A,9.0,11.0,2.0,4.0,2.69,3.02,2.76,1.6,2.29,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.3333333333333333,1.1666666666666667,1.3333333333333333,0.34899553664888583,0.31086026277665657,0.3401442005744576,0.4113110539845758,0.5886889460154241
7,Example3,2000-08-01,Squad1,Squad15,1,0,H,,,,,2.35,2.88,3.15,1.64,2.12,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2857142857142858,1.0,1.2857142857142858,0.3903194578896418,0.31848983543078413,0.29119070667957403,0.4361702127659574,0.5638297872340425
8,Example3,2000-08-01,Squad10,Squad5,4,0,H,13.0,13.0,9.0,6.0,1.65,3.74,5.17,2.15,1.68,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.125,1.0,1.125,0.5680767863490935,0.2506221116246,0.18130110202630645,0.5613577023498694,0.4386422976501305
9,Example3,2000-08-01,Squad12,Squad3,2,3,A,21.0,11.0,11.0,4.0,2.06,3.22,3.63,1.55,2.38,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.3333333333333333,1.0,0.4530535357137321,0.2898417029721391,0.25710476131412896,0.3944020356234097,0.6055979643765903
10,Example3,2000-08-01,Squad2,Squad13,2,0,H,,,,,1.4,3.96,7.03,1.89,1.82,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.2,1.4,1.2,0.6440469360182118,0.22769336121855974,0.1282597027632285,0.5094339622641508,0.4905660377358491
11,Example3,2000-08-01,Squad4,Squad11,4,1,H,11.0,7.0,4.0,3.0,1.59,3.68,6.28,1.65,2.23,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4545454545454546,1.0909090909090908,1.4545454545454546,1.0909090909090908,0.593383795331067,0.2563804985261947,0.1502357061427383,0.4252577319587629,0.5747422680412371
12,Example3,2000-08-01,Squad6,Squad9,1,1,D,12.0,7.0,5.0,4.0,1.78,3.74,4.48,2.16,1.68,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0833333333333333,1.6666666666666667,1.0833333333333333,0.5338295079460155,0.25406858934329074,0.21210190271069362,0.5625,0.4375
13,Example3,2000-08-01,Squad8,Squad7,1,1,D,15.0,17.0,6.0,8.0,4.38,3.54,1.8,1.8,1.97,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6153846153846154,1.0769230769230769,1.6153846153846154,1.0769230769230769,0.21410426998911336,0.26490867303737753,0.5209870569735092,0.47745358090185674,0.5225464190981433
14,Example1,2000-08-01,Team1,Team15,0,1,A,20.0,5.0,8.0,2.0,4.98,4.09,1.65,2.09,1.74,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,1.0714285714285714,1.5714285714285714,1.0714285714285714,0.190993301012914,0.23255419047538187,0.5764525085117042,0.5456919060052219,0.4543080939947781
15,Example1,2000-08-01,Team10,Team5,3,1,H,10.0,15.0,6.0,4.0,3.16,3.0,2.27,1.74,2.0,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4666666666666666,1.0666666666666667,1.4666666666666666,1.0666666666666667,0.29024174025708344,0.3057212997374612,0.40403696000545536,0.46524064171123,0.5347593582887701
16,Example1,2000-08-01,Team12,Team3,1,3,A,,,,,2.89,2.05,3.45,1.53,2.25,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,1.0625,1.5625,1.0625,0.3079351257211277,0.43411342113856544,0.257951453140307,0.4047619047619047,0.5952380952380952
17,Example1,2000-08-01,Team2,Team13,2,1,H,13.0,11.0,3.0,2.0,3.24,3.24,2.3,1.72,2.11,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5294117647058822,1.1764705882352942,1.5294117647058822,1.1764705882352942,0.2933673469387755,0.2933673469387755,0.413265306122449,0.44908616187989553,0.5509138381201044
18,Example1,2000-08-01,Team4,Team11,1,0,H,11.0,12.0,3.0,6.0,1.68,3.38,4.52,1.95,1.73,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,1.1666666666666667,1.5555555555555556,1.1666666666666667,0.535124835374226,0.26597920811499987,0.19889595651077424,0.529891304347826,0.47010869565217395
19,Example1,2000-08-01,Team6,Team9,0,0,D,6.0,14.0,1.0,3.0,2.53,3.21,2.84,1.74,2.06,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.5263157894736843,1.105263157894737,1.5263157894736843,1.105263157894737,0.37327262528201,0.29419929656183336,0.33252807815615676,0.4578947368421053,0.5421052631578948
20,Example1,2000-08-01,Team8,Team7,0,1,A,12.0,9.0,0.0,3.0,3.49,3.14,2.26,1.52,2.53,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.0500000000000003,1.45,1.0500000000000003,0.273544467743925,0.3040350931293943,0.42242043912668065,0.3753086419753087,0.6246913580246914
21,Example2,2000-08-11,Club11,Club2,0,0,D,18.0,5.0,4.0,2.0,2.25,3.26,3.06,1.95,1.79,2000/2001,first,1,1,6.0,1.0,0.0,0.0,3.0,3.0,1.380952380952381,1.047619047619048,2.630952380952381,-0.2023809523809521,0.4122898378217527,0.28455586966225266,0.3031542925159947,0.5213903743315508,0.4786096256684492
