,league,date,teamHome,teamAway,goalsHome,goalsAway,result,shotsHome,shotsAway,shotsTargetHome,shotsTargetAway,oddsHome,oddsDraw,oddsAway,oddsUnder25,oddsOver25,season,round,pointsHome,pointsAway,avgGoalsHome,avgGoalsAway,avgGoalsAgainstHome,avgGoalsAgainstAway,avgPointsHome,avgPointsAway,avgGoalsHomeAllTeams,avgGoalsAwayAllTeams,anticipatedGoalsHomeAverage,anticipatedGoalsAwayAverage,probHome,probDraw,probAway,probOver25,probUnder25,anticipatedGoalsHome,anticipatedGoalsAway
0,Example2,2000-08-01,Club1,Club15,3,0,H,10.0,12.0,3.0,5.0,1.27,5.91,10.27,2.7,1.43,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7636815316288591,0.15341803721607639,0.0829004311547182,0.6644651644651645,0.33553483553483543,2.625,0.8
1,Example2,2000-08-01,Club10,Club5,0,0,D,,,,,2.32,3.01,3.15,1.52,2.42,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.40273697036196204,0.3058654429561916,0.2913975866822706,0.37766420182688126,0.6223357981731188,1.2000000000000002,0.975
2,Example2,2000-08-01,Club12,Club3,0,2,A,13.0,6.0,2.0,3.0,1.93,3.42,4.13,1.69,2.18,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.4984255534471692,0.27558105239062447,0.2259933941617402,0.43349980999945703,0.5665001900005429,1.475,0.925
3,Example2,2000-08-01,Club2,Club13,1,0,H,,,,,1.39,4.15,6.25,1.93,1.94,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.669448692910736,0.20419093110959843,0.126360375979995,0.4986646012499333,0.5013353987500667,1.975,0.7000000000000001
4,Example2,2000-08-01,Club4,Club11,0,6,A,8.0,39.0,1.0,16.0,9.75,5.27,1.29,2.39,1.53,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.08449851549343645,0.16966572429919444,0.7458357602070731,0.617592364700413,0.3824076352995871,0.75,2.4250000000000003
5,Example2,2000-08-01,Club6,Club9,3,0,H,6.0,9.0,5.0,3.0,1.76,3.61,4.41,2.08,1.72,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,0.8,1.6,0.5405236368444553,0.2543861995080426,0.20509016364789928,0.5503130590339892,0.4496869409660107,1.8,1.05
6,Example2,2000-08-01,Club8,Club7,0,1,A,9.0,11.0,2.0,4.0,2.69,3.02,2.76,1.6,2.29,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,1.3333333333333333,1.1666666666666667,1.3333333333333333,0.34974892107568906,0.3097800299817471,0.34047104894301605,0.40584061135371174,0.5941593886462881,1.15,1.125
7,Example3,2000-08-01,Squad1,Squad15,1,0,H,,,,,2.35,2.88,3.15,1.64,2.12,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2857142857142858,1.0,1.2857142857142858,0.3940987618110031,0.3174972615558532,0.28840397663358364,0.4309710078232858,0.5690289921767142,1.3,1.075
8,Example3,2000-08-01,Squad10,Squad5,4,0,H,13.0,13.0,9.0,6.0,1.65,3.74,5.17,2.15,1.68,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.125,1.0,1.125,0.5797087410923465,0.246456016966544,0.17383524194066466,0.5650609080841639,0.434939091915836,1.925,1.0
9,Example3,2000-08-01,Squad12,Squad3,2,3,A,21.0,11.0,11.0,4.0,2.06,3.22,3.63,1.55,2.38,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.0,1.3333333333333333,1.0,0.459380644733987,0.2875291368954725,0.2530902183701094,0.38750338845215504,0.612496611547845,1.3250000000000002,0.9
