,league,date,team,result,goals,shots,shotsOpponent,shotsTarget,shotsTargetOpponent,season,odds,oddsDraw,oddsOpponent,prob,probDraw,anticipatedGoals,home,fav
0,Example1,01/08/00,Team1,L,0,20.0,5.0,8.0,2.0,2000/2001,4.98,4.09,1.65,0.18558316656289917,0.22868109671326864,0.975,1,out
1,Example1,01/08/00,Team2,W,2,13.0,11.0,3.0,2.0,2000/2001,3.24,3.24,2.3,0.291823760368932,0.291823760368932,1.1,1,out
2,Example1,01/08/00,Team4,W,1,11.0,12.0,3.0,6.0,2000/2001,1.68,3.38,4.52,0.5517801185421126,0.2602739437101296,1.8,1,fav
3,Example1,01/08/00,Team6,,0,6.0,14.0,1.0,3.0,2000/2001,2.53,3.21,2.84,0.37501250739052033,0.29249759632742905,1.275,1,fav
4,Example1,01/08/00,Team8,L,0,12.0,9.0,0.0,3.0,2000/2001,3.49,3.14,2.26,0.2714405926048414,0.302998048968563,0.925,1,out
5,Example1,01/08/00,Team10,W,3,10.0,15.0,6.0,4.0,2000/2001,3.16,3.0,2.27,0.2873846184786695,0.30388079407513857,1.125,1,out
6,Example1,01/08/00,Team12,L,1,,,,,2000/2001,2.89,2.05,3.45,0.3055863659679716,0.44322474942320855,1.125,1,fav
7,Example1,11/08/00,Team14,L,2,20.0,14.0,6.0,10.0,2000/2001,3.42,3.02,2.21,0.26829878133700347,0.3062860809351049,0.95,1,out
8,Example1,11/08/00,Team13,L,1,,,,,2000/2001,1.77,2.95,5.0,0.525375102677935,0.30486251772016,1.5750000000000002,1,fav
9,Example1,11/08/00,Team11,,0,,,,,2000/2001,2.27,3.01,3.3,0.4137543473044361,0.3074432785572428,1.225,1,fav
10,Example1,11/08/00,Team9,W,1,,,,,2000/2001,1.65,3.48,4.81,0.5664917262732909,0.2553750555188206,1.9,1,fav
11,Example1,11/08/00,Team7,L,0,29.0,9.0,5.0,2.0,2000/2001,1.34,4.48,9.35,0.7136227374714157,0.19984405872870944,2.25,1,fav
12,Example1,11/08/00,Team5,W,4,,,,,2000/2001,1.51,3.87,6.3,0.6299948552668192,0.23369745899298539,1.9,1,fav
13,Example1,11/08/00,Team3,W,2,,,,,2000/2001,1.38,4.15,7.49,0.6831005868379365,0.21045274922150872,2.1,1,fav
14,Example1,21/08/00,Team14,W,1,,,,,2000/2001,2.28,2.95,3.21,0.407260549412357,0.30979201317728033,1.225,1,fav
15,Example1,21/08/00,Team13,L,1,,,,,2000/2001,1.39,4.03,7.32,0.6759505592725255,0.21591545516680627,1.975,1,fav
16,Example1,21/08/00,Team15,L,0,12.0,17.0,3.0,3.0,2000/2001,2.06,3.39,3.71,0.4671236301468452,0.2789985909666365,1.4500000000000002,1,fav
17,Example1,21/08/00,Team2,,1,16.0,11.0,6.0,5.0,2000/2001,1.7,3.53,5.07,0.5614419410031999,0.2615113006916008,1.625,1,fav
18,Example1,21/08/00,Team4,W,1,16.0,3.0,7.0,1.0,2000/2001,1.37,4.65,9.03,0.7062165149375222,0.19815581138480365,2.225,1,fav
19,Example1,21/08/00,Team6,W,2,,,,,2000/2001,2.3,3.2,2.74,0.3956297887034226,0.2766862294830547,1.375,1,fav
20,Example1,21/08/00,Team8,W,4,,,,,2000/2001,3.82,3.16,2.02,0.23908664934623253,0.29273839872950524,0.95,1,out
21,Example1,31/08/00,Team10,W,5,14.0,14.0,8.0,5.0,2000/2001,2.16,3.3,3.31,0.4384853364922356,0.2812072099013788,1.4,1,fav
22,Example1,31/08/00,Team1,L,0,,,,,2000/2001,4.46,3.13,1.87,0.20070457142256398,0.2940286457678294,0.75,1,out
23,Example1,31/08/00,Team11,W,2,,,,,2000/2001,2.64,2.8,2.65,0.34081259883893994,0.3197649970721346,1.35,1,fav
24,Example1,31/08/00,Team9,W,3,,,,,2000/2001,1.39,4.22,6.8,0.676269886969037,0.20533616726924217,2.0,1,fav
25,Example1,31/08/00,Team7,L,0,9.0,13.0,4.0,4.0,2000/2001,3.08,3.46,2.13,0.29766836590431184,0.26276089826273413,1.275,1,out
26,Example1,31/08/00,Team5,W,3,28.0,16.0,6.0,5.0,2000/2001,1.96,3.32,3.96,0.4864691978535567,0.28070590402455714,1.525,1,fav
27,Example1,31/08/00,Team3,,2,23.0,15.0,7.0,8.0,2000/2001,1.77,3.68,4.74,0.5465594198204623,0.2567270588314734,1.725,1,fav
28,Example1,10/09/00,Team14,W,1,8.0,13.0,2.0,4.0,2000/2001,2.09,3.22,3.89,0.4616335610103275,0.2956157279646322,1.3250000000000002,1,fav
