Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg<2.5,Avg>2.5,HS,AS,HST,AST
Example1,01/08/00,Team1,Team15,0,1,A,4.98,4.09,1.65,2.09,1.74,20,5,8,2
Example1,01/08/00,Team2,Team13,2,1,H,3.24,3.24,2.3,1.72,2.11,13,11,3,2
Example1,01/08/00,Team4,Team11,1,0,H,1.68,3.38,4.52,1.95,1.73,11,12,3,6
Example1,01/08/00,Team6,Team9,0,0,D,2.53,3.21,2.84,1.74,2.06,6,14,1,3
Example1,01/08/00,Team8,Team7,0,1,A,3.49,3.14,2.26,1.52,2.53,12,9,0,3
Example1,01/08/00,Team10,Team5,3,1,H,3.16,3,2.27,1.74,2,10,15,6,4
Example1,01/08/00,Team12,Team3,1,3,A,2.89,2.05,3.45,1.53,2.25,,,,
Example1,11/08/00,Team14,Team1,2,3,A,3.42,3.02,2.21,1.53,2.39,20,14,6,10
Example1,11/08/00,Team13,Team15,1,2,A,1.77,2.95,5,1.67,2.06,,,,
Example1,11/08/00,Team11,Team2,0,0,D,2.27,3.01,3.3,1.51,2.42,,,,
Example1,11/08/00,Team9,Team4,1,0,H,1.65,3.48,4.81,2.11,1.66,,,,
Example1,11/08/00,Team7,Team6,0,1,A,1.34,4.48,9.35,2.17,1.63,29,9,5,2
Example1,11/08/00,Team5,Team8,4,0,H,1.51,3.87,6.3,1.93,1.86,,,,
Example1,11/08/00,Team3,Team10,2,0,H,1.38,4.15,7.49,2.01,1.72,,,,
Example1,21/08/00,Team14,Team12,1,0,H,2.28,2.95,3.21,1.54,2.38,,,,
Example1,21/08/00,Team13,Team1,1,4,A,1.39,4.03,7.32,1.84,1.88,,,,
Example1,21/08/00,Team15,Team11,0,1,A,2.06,3.39,3.71,1.75,2.09,12,17,3,3
Example1,21/08/00,Team2,Team9,1,1,D,1.7,3.53,5.07,1.69,2.1,16,11,6,5
Example1,21/08/00,Team4,Team7,1,0,H,1.37,4.65,9.03,2.18,1.67,16,3,7,1
Example1,21/08/00,Team6,Team5,2,1,H,2.3,3.2,2.74,1.81,1.9,,,,
Example1,21/08/00,Team8,Team3,4,1,H,3.82,3.16,2.02,1.65,2.17,,,,
Example1,31/08/00,Team10,Team14,5,0,H,2.16,3.3,3.31,1.71,2.08,14,14,8,5
Example1,31/08/00,Team1,Team12,0,1,A,4.46,3.13,1.87,1.46,2.6,,,,
Example1,31/08/00,Team11,Team13,2,0,H,2.64,2.8,2.65,1.96,1.87,,,,
Example1,31/08/00,Team9,Team15,3,1,H,1.39,4.22,6.8,1.91,1.84,,,,
Example1,31/08/00,Team7,Team2,0,1,A,3.08,3.46,2.13,2.04,1.72,9,13,4,4
Example1,31/08/00,Team5,Team4,3,0,H,1.96,3.32,3.96,1.78,2.01,28,16,6,5
Example1,31/08/00,Team3,Team6,2,2,D,1.77,3.68,4.74,1.9,1.89,23,15,7,8
Example1,10/09/00,Team14,Team8,1,0,H,2.09,3.22,3.89,1.55,2.43,8,13,2,4
