nameDataSource,nameInternal
Div,league
Date,date
HomeTeam,teamHome
HT,teamHome
AwayTeam,teamAway
AT,teamAway
FTHG,goalsHome
FTAG,goalsAway
FTR,result
HS,shotsHome
AS,shotsAway
HST,shotsTargetHome
AST,shotsTargetAway
AvgH,oddsAvgHome
BbAvH,oddsAvgHome
AvgCH,oddsAvgHome
AvgD,oddsAvgDraw
BbAvD,oddsAvgDraw
AvgCD,oddsAvgDraw
AvgA,oddsAvgAway
BbAvA,oddsAvgAway
AvgCA,oddsAvgAway
Avg<2.5,oddsAvgUnder25
BbAv<2.5,oddsAvgUnder25
AvgC<2.5,oddsAvgUnder25
Avg>2.5,oddsAvgOver25
BbAv>2.5,oddsAvgOver25
AvgC>2.5,oddsAvgOver25
MaxH,oddsMaxHome
BbMxH,oddsMaxHome
MaxCH,oddsMaxHome
MaxD,oddsMaxDraw
BbMxD,oddsMaxDraw
MaxCD,oddsMaxDraw
MaxA,oddsMaxAway
BbMxA,oddsMaxAway
MaxCA,oddsMaxAway
Max<2.5,oddsMaxUnder25
BbMx<2.5,oddsMaxUnder25
MaxC<2.5,oddsMaxUnder25
Max>2.5,oddsMaxOver25
BbMx>2.5,oddsMaxOver25
MaxC>2.5,oddsMaxOver25

